,pid,task,starttime,endtime,original_response_Dutch,original_response,original_response_cleaned,response,invalid,jump_GT,response_len,response_num_words,previous_original_response,previous_response,order,RT,category,SS,jump_cat,jump_SS,jump,originality,jump_profile
1,2657,1,1612269656493,1612269659361,kat,cat,cat,cat,0.0,1.0,3,1,dog,dog,1,2.868,1,0.8227521181106567,1,0,0,,0
2,2657,1,1612269659361,1612269662587,zeebr,seabr,seabr,zebra,0.0,1.0,5,1,cat,cat,2,3.226,9,0.7785021662712097,1,1,1,,1
3,2657,1,1612269662587,1612269666415,giraffe,giraffe,giraffe,giraffe,0.0,1.0,7,1,seabr,zebra,3,3.828,14,0.8193547129631042,1,0,0,,1
4,2657,1,1612269666415,1612269671971,zeehond,seal,seal,seal,0.0,1.0,4,1,giraffe,giraffe,4,5.556,13,0.7661219835281372,1,1,1,,2
5,2657,1,1612269671971,1612269677895,leeuw,lion,lion,lion,0.0,1.0,4,1,seal,seal,5,5.924,1,0.8111578226089478,1,0,0,,2
6,2657,1,1612269677895,1612269683450,tijger,Tiger,Tiger,tiger,0.0,1.0,5,1,lion,lion,6,5.555,6,0.8430523872375488,1,0,0,,2
7,2657,1,1612269683450,1612269685262,duif,pigeon,pigeon,pigeon,0.0,1.0,6,1,Tiger,tiger,7,1.812,10,0.7691526412963867,1,1,1,,3
8,2657,1,1612269685262,1612269690624,lama,llama,llama,llama,0.0,1.0,5,1,pigeon,pigeon,8,5.362,9,0.814871072769165,1,0,0,,3
9,2657,1,1612269690624,1612269698183,papagaai,parrot,parrot,parrot,0.0,1.0,6,1,llama,llama,9,7.559,10,0.791644275188446,1,1,1,,4
10,2657,1,1612269698183,1612269701099,puma,puma,puma,puma,0.0,1.0,4,1,parrot,parrot,10,2.916,13,0.7795395851135254,1,1,1,,5
11,2657,1,1612269701099,1612269706590,aasgier,vulture,vulture,vulture,0.0,1.0,7,1,puma,puma,11,5.491,8,0.7313452959060669,1,1,1,,6
12,2657,1,1612269706590,1612269720013,cavia,guinea pig,guinea pig,guinea pig,0.0,1.0,10,2,vulture,vulture,12,13.423,2,0.7187187075614929,1,1,1,,7
13,2657,1,1612269720013,1612269723087,konijn,rabbit,rabbit,rabbit,0.0,1.0,6,1,guinea pig,guinea pig,13,3.074,15,0.8442529439926147,1,0,0,,7
14,2657,1,1612269723087,1612269728801,haai,shark,shark,shark,0.0,1.0,5,1,rabbit,rabbit,14,5.714,12,0.773780882358551,1,1,1,,8
15,2657,1,1612269728801,1612269734462,mier,ant,ant,ant,0.0,1.0,3,1,shark,shark,15,5.661,15,0.7986440658569336,1,1,1,,9
16,2657,1,1612269734462,1612269737241,kever,beetle,beetle,beetle,0.0,1.0,6,1,ant,ant,16,2.779,14,0.8404709696769714,1,0,0,,9
17,2657,1,1612269737241,1612269739512,kakkerlak,cockroach,cockroach,cockroach,0.0,1.0,9,1,beetle,beetle,17,2.271,15,0.846655547618866,1,0,0,,9
18,2657,1,1612269739512,1612269742760,rat,rat,rat,rat,0.0,1.0,3,1,cockroach,cockroach,18,3.248,2,0.8363742828369141,1,0,0,,9
19,2657,1,1612269742760,1612269744087,muis,mouse,mouse,mouse,0.0,1.0,5,1,rat,rat,19,1.327,2,0.8520025014877319,0,0,0,,9
22,2657,2,1612269786513,1612269794487,brug,bridge,bridge,bridge,0.0,1.0,6,1,house,house,1,7.974,24,0.8050890564918518,0,0,0,1.0,0
23,2657,2,1612269794487,1612269797025,school,school,school,school,0.0,1.0,6,1,bridge,bridge,2,2.538,3,0.8015244007110596,1,0,0,1.0,0
24,2657,2,1612269797025,1612269799090,ministerie,ministry,ministry,ministry,0.0,0,8,1,school,school,3,2.065,3,0.7937707901000977,0,1,0,2.0,0
25,2657,2,1612269799090,1612269803729,hotel,hotel,hotel,hotel,0.0,0,5,1,ministry,ministry,4,4.639,3,0.761303186416626,0,1,0,1.0,0
26,2657,2,1612269803729,1612269809385,basischool,primary school,primary school,primary school,0.0,0,14,2,hotel,hotel,5,5.656,3,0.7211351990699768,0,1,0,1.0,0
27,2657,2,1612269809385,1612269819508,rellen,riot,riot,riot,0.0,1.0,4,1,primary school,primary school,6,10.123,8,0.735331654548645,1,1,1,1.0,1
28,2657,2,1612269819508,1612269839011,middelbare school,secondary school,secondary school,secondary school,0.0,1.0,16,2,riot,riot,7,19.503,3,0.7557554841041565,1,1,1,1.0,2
29,2657,2,1612269839011,1612269841594,universiteit,university,university,university,0.0,0,10,1,secondary school,secondary school,8,2.583,3,0.8141810894012451,0,0,0,1.0,2
30,2657,2,1612269841594,1612269846645,HBO,HBO,HBO,higher education university,0.0,0,27,3,university,university,9,5.051,3,0.8980166912078857,0,0,0,3.0,2
31,2657,2,1612269846645,1612269854137,kamer,room,room,room,0.0,1.0,4,1,HBO,higher education university,10,7.492,14,0.7578059434890747,1,1,1,1.0,3
32,2657,2,1612269854137,1612269857867,interieur,interior,interior,interior,0.0,0,8,1,room,room,11,3.73,24,0.8868894577026367,1,0,0,1.0,3
33,2657,2,1612269857867,1612269879739,veel kleine huizen,many small houses,many small houses,houses,0.0,0,6,1,interior,interior,12,21.872,24,0.815442681312561,0,0,0,1.0,3
34,2657,2,1612269879739,1612269890023,rijtjeshuizen,terraced houses,terraced houses,terraced houses,0.0,0,15,2,many small houses,houses,13,10.284,20,0.8964626789093018,1,0,0,1.0,3
35,2657,2,1612269890023,1612269893244,buurthuizen,community centers,community centers,community centers,0.0,0,17,2,terraced houses,terraced houses,14,3.221,3,0.7523869872093201,1,1,1,1.0,4
36,2657,2,1612269893244,1612269898879,flats,flats,flats,flats,0.0,0,5,1,community centers,community centers,15,5.635,2,0.767809271812439,1,1,1,1.0,5
37,2657,2,1612269898879,1612269925635,tafels,tables,tables,tables,0.0,1.0,6,1,flats,flats,16,26.756,14,0.7894115447998047,1,1,1,1.7,6
38,2657,2,1612269925635,1612269933625,zitverhoging,seat booster,seat booster,seat booster,0.0,1.0,12,2,tables,tables,17,7.99,10,0.7729825973510742,1,1,1,1.7,7
39,2657,2,1612269933625,1612269949308,autoverhoging,car increase,car increase,car increase,0.0,0,12,2,seat booster,seat booster,18,15.683,12,0.8201620578765869,1,0,0,1.0,7
40,2657,2,1612269949308,1612269964406,winkels inbouwen met bakstenen,building shops with bricks,building shops,building shops,0.0,1.0,14,2,car increase,car increase,19,15.098,24,0.7654274106025696,1,1,1,1.0,8
54,2657,3,1612270389941,1612270398628,papier mee vastbinden,tie up paper,tie paper,tie paper,0.0,1.0,9,2,chain,chain,1,8.687,2,0.7900627851486206,1,1,1,1.0,1
55,2657,3,1612270398628,1612270410366,jurk mee maken,make a dress,make dress,make dress,0.0,1.0,10,2,tie up paper,tie paper,2,11.738,21,0.7958049774169922,1,1,1,3.0,2
56,2657,3,1612270410366,1612270425244,de persoon achter een metaaldetector p,the person behind a metal detector p,person behind metal detector p,metal detector,0.0,1.0,14,2,make a dress,make dress,3,14.878,8,0.7059386372566223,1,1,1,3.0,3
57,2657,3,1612270425244,1612270441721,pesten,bullying,bullying,bullying,0.0,1.0,8,1,the person behind a metal detector p,metal detector,4,16.477,14,0.7208432555198669,1,1,1,2.0,4
58,2657,3,1612270441721,1612270451820,sloten mee openen,open locks,open locks,open locks,0.0,1.0,10,2,bullying,bullying,5,10.099,5,0.7268601059913635,1,1,1,2.0,5
59,2657,3,1612270451820,1612270464281,oorbel,earring,earring,earring,0.0,1.0,7,1,open locks,open locks,6,12.461,27,0.7757179737091064,1,1,1,2.0,6
60,2657,3,1612270464281,1612270498736,kunst,art,art,art,0.0,1.0,3,1,earring,earring,7,34.455,21,0.7837135791778564,1,1,1,2.0,7
61,2657,3,1612270498736,1612270532028,omvormen en dan gebruiken als bakfiguurtjes,shape and then use as baking figures,shape baking figures,shape baking mould,0.0,1.0,18,3,art,art,8,33.292,13,0.7409317493438721,1,1,1,3.0,8
62,2657,3,1612270532028,1612270546671,omvormen en gebruiken als stempel,convert and use as a stamp,convert stamp,stamp,0.0,1.0,5,1,shape and then use as baking figures,shape baking mould,9,14.643,14,0.7588154077529907,1,1,1,2.5,9
63,2657,3,1612270546671,1612270555874,omvormen tot tiara,transform into a tiara,transform tiara,tiara,0.0,1.0,5,1,convert and use as a stamp,stamp,10,9.203,14,0.7784390449523926,0,1,0,3.0,9
64,2657,3,1612270555874,1612270564462,haarband,hair band,hair band,hair band,0.0,1.0,9,2,transform into a tiara,tiara,11,8.588,11,0.8015525341033936,1,0,0,2.0,9
65,2657,3,1612270564462,1612270588042,om een simkaart in je telefoon te doen,to put a SIM card in your phone,put SIM card phone,sim card phone,0.0,1.0,14,3,hair band,hair band,12,23.58,4,0.747351348400116,1,1,1,3.0,10
66,2657,3,1612270588042,1612270598231,gebruiken als stokjes ,use as sticks,sticks,sticks,0.0,1.0,6,1,to put a SIM card in your phone,sim card phone,13,10.189,13,0.7549090385437012,1,1,1,1.0,11
67,2657,3,1612270598231,1612270637784,omvormen tot BH-beugel,convert into a bra underwire,convert bra underwire,bra underwire,0.0,1.0,13,2,use as sticks,sticks,14,39.553,8,0.7753667831420898,1,1,1,3.0,12
68,2657,3,1612270637784,1612270659998,details in klei maken,making details in clay,making details clay,details in clay,0.0,1.0,15,3,convert into a bra underwire,bra underwire,15,22.214,21,0.7592509984970093,1,1,1,3.0,13
69,2657,3,1612270659998,1612270674881,ring,ring,ring,ring,0.0,1.0,4,1,making details in clay,details in clay,16,14.883,14,0.7630908489227295,1,1,1,2.0,14
