,pid,task,starttime,endtime,response,response_English,response_English_cleaned,response_English_corrected,invalid,jump_GT,creative,response_len,previous_response_len,RT,previous_response_English,order,clusters_GPT,previous_clusters_GPT,jump_GPT,SS,SS_ref,cluster,previous_cluster,cluster_dist,jump,previous_jump,order_in_cluster,frequency
0,2657,2,1612269786513,1612269794487,brug,bridge,bridge,,,,,4,4.0,7.5975217513826000,house,1,[22],[13],1.0,0.7952609062194820,0.77485657,3,3,0.736169546355502,0,1,2,-5.669191029886580
1,2657,2,1612269794487,1612269797025,school,school,school,,,,,6,4.0,6.04678098777869,bridge,2,[52],[22],1.0,0.7735531330108640,0.7627182,3,3,0.6142943955338920,0,0,3,-6.585481761760740
2,2657,2,1612269797025,1612269799090,ministerie,ministry,ministry,,,0,,10,6.0,5.32908902521479,school,3,[0],[52],1.0,0.7682640552520750,0.736656,14,3,0.8412740949705390,1,0,1,-5.812291873527260
3,2657,2,1612269799090,1612269803729,hotel,hotel,hotel,,,0,,5,10.0,6.832546701384380,ministry,4,[13],[0],1.0,0.7309775948524480,0.72978425,14,14,0.9948137485665570,0,1,2,-4.570578741218470
4,2657,2,1612269803729,1612269809385,basischool,primary school,primary school,,,0,,10,5.0,6.337445008381260,hotel,5,[52],[13],1.0,0.7098067402839660,0.74716955,3,14,0.9948137485665570,1,0,1,-6.585481761760740
5,2657,2,1612269809385,1612269819508,rellen,riot,riot,,,,,6,10.0,7.430657683973580,primary school,6,[44],[52],1.0,0.7290219068527220,0.7864541,22,3,0.9016493003005170,1,1,1,-6.074656137994750
6,2657,2,1612269819508,1612269839011,middelbare school,secondary school,secondary school,,,,,17,6.0,7.0448922958768600,riot,7,[52],[44],1.0,0.7259768843650820,0.7324335,3,22,0.9016493003005170,1,1,1,-6.585481761760740
7,2657,2,1612269839011,1612269841594,universiteit,university,university,,,0,,12,17.0,5.3706380281276600,secondary school,8,[0],[52],1.0,0.8012006282806400,0.7651522,14,3,0.9878608909148350,1,1,1,-4.688361776874860
8,2657,2,1612269841594,1612269846645,HBO,HBO,HBO,Higher education university,,0,,3,12.0,7.428580737326460,university,9,[0],[0],0.0,0.7565762996673580,0.7559374,14,14,0.9878608909148350,0,1,2,-4.793722292532680
9,2657,2,1612269846645,1612269854137,kamer,room,room,,,,,5,3.0,7.3119862925754900,HBO,10,[0],[0],0.0,0.7728273868560790,0.7621286,4,14,0.9519256457412610,1,0,1,-6.297799689308960
10,2657,2,1612269854137,1612269857867,interieur,interior,interior,,,0,,9,5.0,6.026335536134800,room,11,[47],[0],1.0,0.8655774593353270,0.7800952,4,4,1,0,1,2,-6.297799689308960
11,2657,2,1612269857867,1612269879739,veel kleine huizen,many small houses,many small houses,houses,,0,,18,9.0,7.102385037397850,interior,12,"[1, 13]",[47],1.0,0.7920228838920590,0.759176,3,4,0.8105994790689330,1,0,1,-4.793722292532680
12,2657,2,1612269879739,1612269890023,rijtjeshuizen,terraced houses,terraced houses,,,0,,13,18.0,6.673079136084820,many small houses,13,[13],"[1, 13]",0.0,0.8478556275367740,0.76376575,3,3,0.9827990995384490,0,1,2,-5.738183901373530
13,2657,2,1612269890023,1612269893244,buurthuizen,community centers,community centers,,,0,,11,13.0,5.678697739741370,terraced houses,14,"[13, 41]",[13],0.0,0.7225598096847530,0.72798645,14,3,0.9878608909148350,1,0,1,-4.688361776874860
14,2657,2,1612269893244,1612269898879,flats,flats,flats,,,0,,5,11.0,7.027092661570760,community centers,15,[13],"[13, 41]",0.0,0.75413978099823,0.77939725,13,14,0.9878608909148350,1,1,1,-5.669191029886580
15,2657,2,1612269898879,1612269925635,tafels,tables,tables,,,,,6,5.0,8.402698493247040,flats,16,[5],[13],1.0,0.7752975821495060,0.7503002,4,13,0.9842277502032170,1,1,1,-4.40694931743667
16,2657,2,1612269925635,1612269933625,zitverhoging,seat booster,seat booster,,,,,12,6.0,6.500663849129390,tables,17,[28],[5],1.0,0.7438368201255800,0.7268789,5,4,0.9842277502032170,1,1,1,-5.979345958190420
17,2657,2,1612269933625,1612269949308,autoverhoging,car increase,car increase,,,0,,13,12.0,7.0951759924382100,seat booster,18,[15],[28],1.0,0.8155463933944700,0.7225927,5,5,0.921032169867566,0,1,2,-5.979345958190420
18,2657,2,1612269949308,1612269964406,winkels inbouwen met bakstenen,building shops with bricks,building shops bricks,building shops,,,,30,13.0,6.220623304076980,car increase,19,"[1, 13]",[15],1.0,0.7359053492546080,0.8971762,1,5,0.9472208259531390,1,0,1,-4.663669164284480
19,2657,2,1612269964406,1612269975133,grens aangeven,indicate boundary,indicate boundary,,,,,14,30.0,6.6411355442597600,building shops with bricks,20,[22],"[1, 13]",1.0,0.754845142364502,0.77936465,14,1,0.9472208259531390,1,1,1,-5.8923345812007900
20,2657,2,1612269975133,1612269996173,baksteenhek,brick fence,brick fence,,,0,,11,14.0,7.556154682088790,indicate boundary,21,[13],[22],1.0,0.793016254901886,0.9067719,1,14,0.9472208259531390,1,1,1,-4.663669164284480
21,2657,2,1612269996173,1612270013793,real life lego,real life lego,real life lego,Lego game,,,,14,11.0,7.137533912232330,brick fence,22,[54],[13],1.0,0.7921504974365230,0.850436,3,1,0.9472208259531390,1,1,1,-5.738183901373530
22,2657,2,1612270013793,1612270024222,kunst,art,art,,,,,5,14.0,7.642787888415530,real life lego,23,[17],[54],1.0,0.7691797614097600,0.7704309,7,3,0.9873575592904490,1,1,1,-4.821893169499380
23,2657,2,1612270024222,1612270035855,als canvas om mee te schilderen,as a canvas to paint with,canvas paint,,,0,,31,5.0,5.926947531115520,art,24,"[17, 53]",[17],0.0,0.8087465763092040,0.7436187,7,7,0.9873575592904490,0,1,2,-5.738183901373530
24,2657,2,1612270035855,1612270056202,om kunst uit te hakken,to carve art,carve art,,,0,,22,31.0,6.829375959837790,as a canvas to paint with,25,[17],"[17, 53]",0.0,0.8212683796882630,0.7865188,7,7,0.9092446401776930,0,0,3,-4.911505328189070
25,2657,2,1612270056202,1612270120814,"met een gat erin, als bedeltje voor een ketting van een reus of groot kunstwerk","with a hole in it, as a charm for a giant necklace or large work of art","hole , charm giant necklace large work art",Giant necklace pendant and art,,0,,79,22.0,6.706401861066560,to carve art,26,[16],[17],1.0,0.8340330123901370,0.7762109,13,7,0.9092446401776930,1,0,1,-5.812291873527260
26,2657,2,1612270120814,1612270141574,speeltuin,playground,playground,,,,,9,79.0,7.743450372567020,"with a hole in it, as a charm for a giant necklace or large work of art",27,[55],[16],1.0,0.721671462059021,0.77330667,14,13,0.9948402806287740,1,1,1,-5.045036720813590
27,2657,2,1612270141574,1612270178745,stoel,chair,chair,,,,,5,9.0,8.913812624980400,playground,28,[5],[55],1.0,0.7493126392364500,0.7643082,4,14,0.9948402806287740,1,1,1,-4.943254026503650
